PQJ1,PQJ2,PQJ3,PQJ4,PQJ5,xiashan,julongtan,OT
28.4,16.8,22,25.3,12.4,786,378,2853.333333
8.2,5.7,0,0.9,0.2,1038,564,3136.666667
1.3,0.3,0,0,0,1333,676,3716.666667
0.6,0.6,0.2,0,0,1705,595,4690
0.4,0,0,0,0.2,2015,618,5240
0,0,0,0,0,2021,920,5480
0,0,0,0,0,1974,897,5310
0,0,0,0,0,1750,658,4563.333333
0,0,0,0,0,1393,417,4046.666667
0,0,0,0,0,1096,463,3626.666667
0,0,0,0,0,1059,448,3176.666667
0,0,0,0,0,918,407,2850
0,0,0,0,0,917,413,2766.666667
0,0,0,0,0,703,423,2760
0,0,0,0,0,791,404,2723.333333
0,0,0,0,0,669,394,2700
0,0,0,0,0,710,384,2670
0,0,0,0,0,612,384,2653.333333
0,0,0,0,0,610,386,2616.666667
0,0,0,0,0,662,390,2556.666667
0,0,0,0,0,604,389,2550
0,0,0,0,0,567,388,2596.666667
0,0,0,0,0,531,384,2693.333333
0,0,0,0,0,463,384,2720
0,0,0,0,0,520,382,2620
0,0,0,0,0,477,382,2493.333333
0,0,0,0,0,427,367,2380
0,0,0,0,0,449,348,2253.333333
0,0,0,0,0,439,322,2076.666667
0,0,0,0,0,448,202,1810
0,0,0,0,0,415,166,1550
0,0,0,0,0,441,261,1260
0,0,0,0,0,461,269,1270
0,0,0,0,0,343,0,1216.666667
0,0.1,0.3,0.7,0,361,139,1196.666667
0.3,4.3,0.3,6.4,16.4,355,296,1220
3.7,12.4,1.2,3.3,0,342,363,1280
0,0.6,0.2,0.8,0.2,350,368,1353.333333
0,0.2,0,0,0.6,330,367,1416.666667
6.4,0.3,15.8,1.2,0.6,398,367,1426.666667
1.1,0,1,0.4,0,346,314,1386.666667
0,0.1,0.2,1,0.6,440,0,1286.666667
0.6,0.3,1.5,0.8,0.6,332,281,1256.666667
6.5,2,4,5.7,0.8,403,354,1273.333333
5.7,0.1,9.8,4,11.4,399,354,1400
1.3,0.5,12.2,2.8,3.4,340,323,1533.333333
3.4,4.4,6.5,0.6,4.4,466,321,1656.666667
10.8,0.4,7,7,9,478,321,1730
26.2,3.2,11.2,18.7,26.4,685,351,1960
9.8,3.4,15.5,3.9,3.2,985,357,2370
8.5,0.4,5.3,1.7,0.6,1214,378,2796.666667
5.2,0.2,0.3,1.9,0.2,1861,385,3176.666667
1.4,0.2,0.7,7.9,2.4,2294,450,3563.333333
1.9,6.8,0,0,0,2271,496,4003.333333
4,3.7,2.2,0.9,0.8,2308,387,4353.333333
19.1,3.6,16.2,10.8,12.8,1980,388,4396.666667
2.9,0.7,2.7,4.3,1.6,1616,386,4260
6.5,2.4,13.5,1.9,8.2,1846,384,4123.333333
1.5,4.6,0,0.1,0,1871,384,4106.666667
13.3,9.4,15.3,7.8,6.6,1890,385,4220
23.9,1.6,39,35.1,40.6,2016,628,4466.666667
20.3,32.8,15.2,15,11.2,2264,1144,5143.333333
2.2,1.6,1.2,2.3,1.6,2997,1057,6333.333333
2.8,0.7,1.5,2,0.6,3327,1075,7880
0.1,0.2,0.2,0,0,3448,1129,8630
5.4,0.1,12.8,3,6.4,3620,1168,8360
